"gene","combinedPval","adjustedPval","pred","truth"
"gene191",0.757963571089412,1,0,0
"gene192",0.463169185775367,1,0,0
"gene193",0.752110308672611,1,0,0
"gene194",0.0259831736755259,1,0,0
"gene196",0.687337810651563,1,0,0
"gene197",0.264628240000632,1,0,0
"gene198",0.881073536749406,1,0,0
"gene199",0.292662784012967,1,0,0
"gene200",0.483607473137996,1,0,0
"gene201",0.591440944942279,1,0,0
"gene202",0.61661341523119,1,0,0
"gene203",0.944611334241792,1,0,0
"gene204",0.812445367629242,1,0,0
"gene205",0.941397747043083,1,0,0
"gene206",0.246993116014722,1,0,0
"gene207",0.742415908149438,1,0,0
"gene208",0.666432450212013,1,0,0
"gene209",0.0976624495340537,1,0,0
"gene210",0.241010021948101,1,0,0
"gene211",0.65545198920711,1,0,0
"gene212",0.242843857096602,1,0,0
"gene213",0.740531583869567,1,0,0
"gene214",0.338414980756682,1,0,0
"gene215",0.995354143468504,1,0,0
"gene216",0.251608816143474,1,0,0
"gene217",0.340236995336146,1,0,0
"gene218",0.540627328558856,1,0,0
"gene219",0.431916105376728,1,0,0
"gene220",0.145699651115619,1,0,0
"gene222",0.891416951650556,1,0,0
"gene223",0.883234272965801,1,0,0
"gene224",0.124851440951228,1,0,0
"gene225",0.31716159678237,1,0,0
"gene226",0.387863764888095,1,0,0
"gene227",0.461421744329059,1,0,0
"gene228",0.617131014108037,1,0,0
"gene229",0.851585972252935,1,0,0
"gene230",0.0481475057207816,1,0,0
"gene231",0.412629098353818,1,0,0
"gene232",0.047822918138867,1,0,0
"gene233",0.871382894163863,1,0,0
"gene234",0.395256967384604,1,0,0
"gene235",0.0363530745034057,1,0,0
"gene236",0.440187243757146,1,0,0
"gene237",0.816628796128005,1,0,0
"gene238",0.364128482422567,1,0,0
"gene239",0.0517946978286037,1,0,0
"gene240",0.751320283458163,1,0,0
"gene241",0.816128107389382,1,0,0
"gene242",0.672423196688556,1,0,0
"gene243",0.0728290977815678,1,0,0
"gene244",0.64095468655333,1,0,0
"gene245",0.42342697471464,1,0,0
"gene246",0.576966183195655,1,0,0
"gene247",0.328989181799282,1,0,0
"gene248",0.521290955306796,1,0,0
"gene249",0.775923764271375,1,0,0
