"gene","combinedPval","adjustedPval","pred","truth"
"gene251",0.100016695156556,1,0,0
"gene252",0.272378535996405,1,0,0
"gene253",0.646418051227017,1,0,0
"gene254",0.722531338677599,1,0,0
"gene255",0.217989899821497,1,0,0
"gene256",0.18593893215965,1,0,0
"gene257",0.712539882700555,1,0,0
"gene258",0.581995017553077,1,0,0
"gene259",0.0302530859064755,1,0,0
"gene260",0.967370485752461,1,0,0
"gene261",0.190164821268814,1,0,0
"gene262",0.385235326639458,1,0,0
"gene263",0.666266946838715,1,0,0
"gene264",0.75603437560715,1,0,0
"gene265",0.0468983107146133,1,0,0
"gene266",0.61647814201775,1,0,0
"gene267",0.879030467753538,1,0,0
"gene268",0.201692117714823,1,0,0
"gene269",0.996563627619467,1,0,0
"gene270",0.297070920050095,1,0,0
"gene271",0.872133323663256,1,0,0
"gene272",0.963556937103765,1,0,0
"gene273",0.338931345505785,1,0,0
"gene274",0.674924760169049,1,0,0
"gene275",0.652200576046445,1,0,0
"gene276",0.749473875241545,1,0,0
"gene277",0.646356184496786,1,0,0
"gene278",0.879396285004256,1,0,0
"gene279",0.173467131762972,1,0,0
"gene280",0.951731405011961,1,0,0
"gene281",0.597760933442134,1,0,0
"gene282",0.29580895225894,1,0,0
"gene283",0.698944222850756,1,0,0
"gene284",0.949635541391864,1,0,0
"gene285",0.424656863845106,1,0,0
"gene286",0.721780726682939,1,0,0
"gene287",0.30831728107109,1,0,0
"gene288",0.61402727801353,1,0,0
"gene289",0.0371246205485662,1,0,0
"gene290",0.905423478001302,1,0,0
"gene291",0.261831523056813,1,0,0
"gene292",0.517458840215055,1,0,0
"gene293",0.425628217518565,1,0,0
"gene294",0.126031065075135,1,0,0
"gene295",0.0351583789333676,1,0,0
"gene296",0.201365747333509,1,0,0
"gene297",0.189414580170687,1,0,0
"gene298",0.960930470096242,1,0,0
"gene299",0.799532720049411,1,0,0
"gene300",0.890992400359938,1,0,0
"gene301",0.118834958776723,1,0,0
"gene302",0.591665309451517,1,0,0
"gene303",0.958527072661266,1,0,0
"gene304",0.187740271889776,1,0,0
"gene305",0.344772466648242,1,0,0
"gene306",0.0204612993784132,1,0,0
"gene307",0.984856692986333,1,0,0
"gene308",0.313482056920931,1,0,0
"gene309",0.883241479694984,1,0,0
"gene310",0.0539697069038243,1,0,0
"gene311",0.266644284348508,1,0,0
"gene312",0.721862724977642,1,0,0
"gene313",0.79682083100886,1,0,0
"gene314",0.65627603974626,1,0,0
"gene315",0.101911650300508,1,0,0
"gene316",0.741365560234785,1,0,0
"gene317",0.216706492769376,1,0,0
"gene318",0.846217179735293,1,0,0
"gene319",0.972170502328377,1,0,0
"gene320",0.093549537218937,1,0,0
"gene321",0.342277761413403,1,0,0
"gene322",0.477755202599173,1,0,0
"gene323",0.271715151973744,1,0,0
"gene324",0.460398622467714,1,0,0
"gene325",0.76340425056316,1,0,0
"gene326",0.215590305724702,1,0,0
"gene327",0.788145354443448,1,0,0
"gene328",0.106688212462176,1,0,0
"gene329",0.767118805372173,1,0,0
"gene330",0.826724867871925,1,0,0
"gene331",0.364597828091851,1,0,0
"gene332",0.0768201516217181,1,0,0
"gene333",0.225201426249687,1,0,0
"gene334",0.515935569248997,1,0,0
"gene335",0.0902537506801252,1,0,0
"gene336",0.197149096167257,1,0,0
