"Gene Set ID","Gene Set Name","# Genes in Gene Set (K)","Description","# Genes in Overlap (k)","k/K","p-value","FDR q-value"
37,"GOCC_PLASMA_MEMBRANE_REGION",1562,"A membrane that is a (regional) part of the plasma membrane. [GOC:dos]",51,0.0327,4.03e-20,1.17e-17
38,"GOBP_INTRACELLULAR_SIGNALING_CASSETTE",1976,"An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways. [GOC:ha, GOC:pg]",57,0.0288,6.23e-20,1.75e-17
39,"GOBP_TRANSMEMBRANE_TRANSPORT",1643,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other. [GOC:dph, GOC:jid]",52,0.0316,6.35e-20,1.75e-17
40,"GOBP_EXPORT_FROM_CELL",1109,"The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis. [GOC:pg]",43,0.0388,8.87e-20,2.34e-17
41,"GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING",327,"Binding to a G protein-coupled receptor. [GOC:ceb, GOC:dph]",26,0.0795,8.92e-20,2.34e-17
42,"GOBP_HEAD_DEVELOPMENT",844,"The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body. [GOC:dph]",38,0.045,9.94e-20,2.54e-17
43,"GOBP_CIRCULATORY_SYSTEM_PROCESS",612,"An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism. [GOC:mtg_cardio]",33,0.0539,1.39e-19,3.47e-17
44,"GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION",1016,"Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]",41,0.0404,1.65e-19,4.03e-17
45,"GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT",1622,"Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]",51,0.0314,1.99e-19,4.75e-17
46,"GOBP_MONOATOMIC_CATION_TRANSPORT",1117,"The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom. [GOC:ai]",42,0.0376,7.48e-19,1.75e-16
