"gene","scbsp_pvalue","scbsp_pred"
"BDNF",0.027857568897127,1
"BHLHE22",0.507296458270666,0
"BIRC2",0.851792600981386,0
"BIRC5",0.299503345289983,0
"BMP3",0.620326901878847,0
"BMP4",0.865746612853788,0
"BRCA1",0.841057419767621,0
"BRS3",0.64418021330266,0
"C1QB",0.211823919029784,0
"C1QL1",0.496822747956617,0
"C1QL2",0.801570003173041,0
"C1QL3",0.0327278746890665,1
"C1QTNF7",0.72846155793937,0
"C4B",0.0337153840903344,1
"CABP7",0.0412234667161059,1
"CACNA2D1",9.51151486598967e-05,1
"CACNA2D2",0.00342109294277071,1
"CACNG4",0.0421325707348063,1
"CADM1",0.000548315961228063,1
"CADM2",0.0696056908389971,0
"CALB1",0.111263333043279,0
"CALB2",0.00524001095024562,1
"CALCA",0.664013427738043,0
"CALCB",0.799725181890661,0
"CALCR",0.00238434413433986,1
"CALCRL",0.0725945958235326,0
"CAMK2D",0.00129119223192198,1
"CAR10",0.146813659857068,0
"CAR2",9.74785380930543e-05,1
"CAR3",0.733872844284436,0
"CAR4",0.102186633453097,0
"CAR8",0.424986128871974,0
"CARD10",0.209944408687806,0
"CARTPT",2.06685365489179e-08,1
"CASP4",0.614392317031846,0
"CASP8",0.429639096532345,0
"CASR",0.888459169640862,0
"CBLN1",0.000457738409495811,1
"CBLN2",0.00644359099417335,1
"CBLN3",0.643666051109021,0
"CBLN4",0.0252458121814114,1
"CBR2",0.681182587731873,0
"CBS",0.212741816471518,0
"CCDC153",0.835036109526235,0
"CCK",0.0468768669245178,1
"CCKAR",0.614366327532934,0
"CCKBR",0.720643802478203,0
"CCL24",0.657333174423097,0
"CCL3",0.616887661161111,0
"CCL4",0.21386908722359,0
"CCL7",0.797483648832497,0
"CCN4",0.907407468795517,0
"CCNA1",0.799319354486235,0
"CCND1",0.481313661136222,0
"CCND2",0.0561461276782499,0
"CCNE1",0.224897913301897,0
"CCP110",0.0216844423959979,1
"CCR6",0.729328366503979,0
"CCRL2",0.854389406367198,0
"CCSAP",0.203172297844081,0
"CD74",0.117462410824578,0
"CD9",0.732581363600608,0
"CD93",0.850928903911797,0
"CDC20",0.799305007815848,0
"CDH13",0.0122903539057979,1
"CDH7",0.0930983420502082,0
"CDHR1",0.815797183519738,0
"CDK1",0.919354148866406,0
"CDKL4",0.682285981698089,0
"CDKN1C",0.802742948409174,0
"CEACAM10",0.949216302034996,0
"CEMIP",0.736867097406942,0
"CENPF",0.69256093249795,0
"CFAP126",0.883070888330415,0
"CFAP58",0.873050388152094,0
"CFH",0.948971986018655,0
"CHAT",0.784224706228693,0
"CHODL",0.502696834869127,0
"CHRM1",0.074066468826894,0
"CHRM2",0.203288112644335,0
"CHRM3",0.490816809251745,0
"CHRM4",0.151491403306791,0
"CHRM5",0.26239096830293,0
"CHRNA2",0.967999832180652,0
"CHRNA3",0.861762071328865,0
"CHRNA6",0.82988653069324,0
"CHRNB3",0.789970422158799,0
"CITED1",0.331519698745619,0
"CKS2",0.367398958137161,0
"CLCA3A1",0.590999555030699,0
"CLDN10",0.901938755547858,0
"CLDN11",0.000375398026894458,1
"CLDN19",0.79304405598858,0
"CLDN5",0.598746642815292,0
"CLEC2L",0.145443688739262,0
"CLIC5",0.47888569718519,0
"CLIC6",0.457248005427524,0
"CLU",1.31836369121618e-06,1
"CNKSR3",0.430451832886287,0
"CNN1",0.915876130675713,0
"CNPY1",0.864377927633082,0
"CNR1",0.857863629418747,0
"CNR2",0.988658574449743,0
"CNTNAP3",0.640812155581341,0
"COCH",0.185067902003179,0
"COL11A1",0.671708922313041,0
"COL12A1",0.924973557750268,0
"COL15A1",0.349392333509739,0
"COL18A1",0.314291747910174,0
"COL19A1",0.810206931483536,0
"COL20A1",0.699521324800832,0
"COL24A1",0.860627408891965,0
"COL25A1",0.162814837063659,0
"COL3A1",0.647104694945243,0
"COL5A1",0.891583254838881,0
"COL6A1",0.411453172949628,0
"COL9A2",0.559503513337676,0
"CORO6",0.754407077372807,0
"CORT",0.929830996579553,0
"COX4I2",0.758781051303059,0
"COX6A2",0.667187679460033,0
"COX8B",0.931163765646282,0
"CPA6",0.834761645951648,0
"CPB1",0.87630084544518,0
"CPLX3",0.431693198968351,0
"CPNE4",0.043117748955339,1
"CPNE5",0.183668074448718,0
"CPNE6",0.00161001259903282,1
"CPXM2",0.466999502742847,0
"CRABP1",0.481719699668348,0
"CRCT1",0.899760868846166,0
"CREB3L1",0.612093181137912,0
"CRH",0.516697533656113,0
"CRHBP",0.826168615846588,0
"CRHR1",0.725921340478388,0
"CRHR2",0.863420425429491,0
"CRIM1",0.233826731823229,0
"CRISP1",0.871983216068932,0
"CRISPLD2",0.794040468103753,0
"CRYM",0.0913408874262487,0
"CSF1R",0.389329694471226,0
"CSPG5",0.194932805676211,0
"CSRP2",0.150958383503171,0
"CST3",1.10641113986176e-05,1
"CTGF",0.319942572390048,0
"CTPS",0.0187722493544603,1
"CTSC",0.923111972835698,0
"CTSS",0.153923929219944,0
"CTXN3",0.481564451653446,0
"CUX2",0.225264859199932,0
