"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","raw_zero_prop","category"
"HTR2B",0,1,0.929426754149379,0,0.997394702561876,"GeoSVG-3D only"
"HTR2C",0,1,0.044300978333199,1,0.924880590534086,"Both"
"IGFBP2",0,1,0.0587988637305762,0,0.94518019973947,"GeoSVG-3D only"
"IGFBP4",0,1,0.037574775660719,1,0.953647416413374,"Both"
"IGFBP6",0,1,0.239919978143581,0,0.98469387755102,"GeoSVG-3D only"
"IGSF8",0,1,0.000171097227146588,1,0.490230134607034,"Both"
"IL1R1",0,1,0.358181232387975,0,0.96993052540165,"GeoSVG-3D only"
"INHBA",0,1,0.41898974551955,0,0.989253148067738,"GeoSVG-3D only"
"INMT",0,1,0.634474337227078,0,0.993595310464611,"GeoSVG-3D only"
"INSRR",0,1,0.948483495594179,0,0.997394702561876,"GeoSVG-3D only"
"IRX4",0,1,0.695418616226895,0,0.994572297003908,"GeoSVG-3D only"
"ITIH3",0,1,0.000161467865697373,1,0.685410334346505,"Both"
"JUNB",0,1,0.457595972000024,0,0.981871471993053,"GeoSVG-3D only"
"KCNAB3",0,1,0.155139165800813,0,0.960160660008684,"GeoSVG-3D only"
"KCNC3",0,1,0.21966612188733,0,0.970147633521494,"GeoSVG-3D only"
"KCNG1",0,1,0.216893943939241,0,0.983825445071646,"GeoSVG-3D only"
"KCNH8",0,1,0.778379942662787,0,0.994246634824142,"GeoSVG-3D only"
"KCNMB2",0,1,0.805038799485846,0,0.992618323925315,"GeoSVG-3D only"
"KCNS1",0,1,0.613595487753744,0,0.993812418584455,"GeoSVG-3D only"
"KISS1R",0,1,0.850807154075034,0,0.99587494572297,"GeoSVG-3D only"
"KIT",0,1,0.575089175954999,0,0.990990013026487,"GeoSVG-3D only"
"KITL",0,1,0.756043026968994,0,0.994572297003908,"GeoSVG-3D only"
"KLHL1",0,1,0.00732334210131969,1,0.860725141120278,"Both"
"KRT12",0,1,0.454047222758944,0,0.985670864090317,"GeoSVG-3D only"
"KRT15",0,1,0.959194289428783,0,0.997177594442032,"GeoSVG-3D only"
"KRT27",0,1,0.662375337442451,0,0.989036039947894,"GeoSVG-3D only"
"LAMP5",0,1,0.0768306058311757,0,0.968844984802432,"GeoSVG-3D only"
"LANCL3",0,1,0.828537205016658,0,0.99706904038211,"GeoSVG-3D only"
"LCN2",0,1,0.962148431787435,0,0.998914459400782,"GeoSVG-3D only"
"LEFTY1",0,1,0.934780874412703,0,0.997720364741641,"GeoSVG-3D only"
"LHX8",0,1,0.930799569599901,0,0.99880590534086,"GeoSVG-3D only"
"LMO1",0,1,0.0527039553340827,0,0.938341293964394,"GeoSVG-3D only"
"LPAR3",0,1,0.834401999496502,0,0.997720364741641,"GeoSVG-3D only"
"LPL",0,1,0.120064735273712,0,0.980894485453756,"GeoSVG-3D only"
"LSAMP",0,1,6.77889090084927e-05,1,0.508033000434216,"Both"
"LTK",0,1,0.128361055456329,0,0.95462440295267,"GeoSVG-3D only"
"LY6A",0,1,0.974062232373752,0,0.997720364741641,"GeoSVG-3D only"
"LY6G6E",0,1,0.67853160550003,0,0.996960486322188,"GeoSVG-3D only"
"LYPD6B",0,1,0.236296460079232,0,0.970690403821103,"GeoSVG-3D only"
"MAOB",0,1,0.0910794848205633,0,0.95223621363439,"GeoSVG-3D only"
"MAP3K7CL",0,1,0.928578594890344,0,0.996851932262267,"GeoSVG-3D only"
"MDGA1",0,1,0.00382928108186165,1,0.849109856708641,"Both"
"MFGE8",0,1,0.0171824783031915,1,0.893617021276596,"Both"
"MGP",0,1,0.426669784968475,0,0.98349978289188,"GeoSVG-3D only"
"MLC1",0,1,0.0129940990987225,1,0.825987841945289,"Both"
"MMP2",0,1,0.620044698892955,0,0.995223621363439,"GeoSVG-3D only"
"MPZ",0,1,0.938037057885836,0,0.997611810681719,"GeoSVG-3D only"
"MRAP2",0,1,0.0357738868288936,1,0.919887103777681,"Both"
"MRC1",0,1,0.665120422385472,0,0.990447242726878,"GeoSVG-3D only"
"MRGPRD",0,1,0.918937057032535,0,0.998154580981329,"GeoSVG-3D only"
"MS4A15",0,1,0.969329142903584,0,0.997937472861485,"GeoSVG-3D only"
"MTNR1A",0,1,0.919588588123885,0,0.996309161962657,"GeoSVG-3D only"
"MUSTN1",0,1,0.581531041706621,0,0.994463742943986,"GeoSVG-3D only"
"NEUROD2",0,1,0.355986984043796,0,0.981220147633522,"GeoSVG-3D only"
"NEUROD6",0,1,0.0131419518107921,1,0.956469821971342,"Both"
"NMS",0,1,0.835629914999455,0,0.995332175423361,"GeoSVG-3D only"
"NOTUM",0,1,0.491301168930798,0,0.978831958315241,"GeoSVG-3D only"
"NOV",0,1,0.250358992251641,0,0.969604863221885,"GeoSVG-3D only"
"NPBWR1",0,1,0.878366307670934,0,0.996960486322188,"GeoSVG-3D only"
"NPTX1",0,1,0.000359327666780596,1,0.716022579244464,"Both"
"NPY",0,1,0.259797333894535,0,0.983933999131568,"GeoSVG-3D only"
"NPY1R",0,1,0.927847554205304,0,0.997611810681719,"GeoSVG-3D only"
"NPY4R",0,1,0.670685242004612,0,0.991424229266175,"GeoSVG-3D only"
"NR4A3",0,1,0.54862721415452,0,0.989144594007816,"GeoSVG-3D only"
"NRGN",0,1,4.99708815393518e-06,1,0.695614415979158,"Both"
"NTSR1",0,1,0.24058860614125,0,0.966565349544073,"GeoSVG-3D only"
"NTSR2",0,1,0.00823900846736036,1,0.847590099869735,"Both"
"NXPH1",0,1,0.0575404809008609,0,0.926726009552757,"GeoSVG-3D only"
"NYAP2",0,1,0.0179404394460803,1,0.858119843682154,"Both"
"OPRD1",0,1,0.706060340454423,0,0.994029526704299,"GeoSVG-3D only"
"OSCP1",0,1,0.0247475486750799,1,0.860616587060356,"Both"
"OXT",0,1,0.769596155977565,0,0.991315675206253,"GeoSVG-3D only"
"PAK4",0,1,0.208468695299323,0,0.96993052540165,"GeoSVG-3D only"
"PARP14",0,1,0.472632879840508,0,0.98936170212766,"GeoSVG-3D only"
"PDE1A",0,1,0.0798131800022717,0,0.931068171949631,"GeoSVG-3D only"
"PDGFRA",0,1,0.30818096112997,0,0.964177160225792,"GeoSVG-3D only"
"PDLIM1",0,1,0.700296201533726,0,0.993920972644377,"GeoSVG-3D only"
"PDZK1IP1",0,1,0.702018639424932,0,0.993812418584455,"GeoSVG-3D only"
"PF4",0,1,0.93691545515635,0,0.997286148501954,"GeoSVG-3D only"
"PGR15L",0,1,0.128383777123449,0,0.96873643074251,"GeoSVG-3D only"
"PIK3R3",0,1,0.098443987472928,0,0.937689969604863,"GeoSVG-3D only"
"PLCXD2",0,1,0.0207543248643239,1,0.851389491967,"Both"
"PMCH",0,1,0.000294230436373111,1,0.897307859313938,"Both"
"PNMT",0,1,0.675317349531946,0,0.99587494572297,"GeoSVG-3D only"
"POMC",0,1,0.032070489459322,1,0.986864958749457,"Both"
"POU4F2",0,1,0.957354389904343,0,0.997720364741641,"GeoSVG-3D only"
"PPP1R3G",0,1,0.555914768750212,0,0.985453755970473,"GeoSVG-3D only"
"PRC1",0,1,0.955080139093944,0,0.996851932262267,"GeoSVG-3D only"
"PRKCG",0,1,0.219051525795017,0,0.968953538862353,"GeoSVG-3D only"
"PROCR",0,1,0.744514891399952,0,0.994029526704299,"GeoSVG-3D only"
"PRX",0,1,0.618882149183862,0,0.990990013026487,"GeoSVG-3D only"
"PTPRZ1",0,1,0.204190381009854,0,0.959509335649153,"GeoSVG-3D only"
"PVALB",0,1,0.0174376700110627,1,0.925531914893617,"Both"
"PYY",0,1,0.915581081909952,0,0.997828918801563,"GeoSVG-3D only"
"RARRES1",0,1,0.593866815180508,0,0.995332175423361,"GeoSVG-3D only"
"RASL10A",0,1,0.443245790381073,0,0.988276161528441,"GeoSVG-3D only"
"RBP4",0,1,0.648858456015735,0,0.99294398610508,"GeoSVG-3D only"
