"method_1","method_2","category","gene"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MEOX1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MFAP4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MFGE8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MFSD2A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MGP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MKI67"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MLC1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MMP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MPZ"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MRAP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MRC1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MRGPRD"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MS4A15"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MTNR1A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MUSTN1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","MYOC"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NDST4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NELL1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NEUROD2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NEUROD6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NMS"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NOTUM"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NOV"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NPBWR1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NPFF"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NPY"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NPY1R"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NPY4R"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NR4A3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NTSR1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NXPH1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NXPH4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","NYAP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","OPRD1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","OSCP1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","OXT"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PAK4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PARP14"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PAX8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PBX3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PDE1A"
